,Date,Open,High,Low,Close,Adj Close,Volume,volume_adi,volume_obv,volume_cmf,volume_fi,volume_mfi,volume_em,volume_sma_em,volume_vpt,volume_nvi,volume_vwap,volatility_atr,volatility_bbm,volatility_bbh,volatility_bbl,volatility_bbw,volatility_bbp,volatility_bbhi,volatility_bbli,volatility_kcc,volatility_kch,volatility_kcl,volatility_kcw,volatility_kcp,volatility_kchi,volatility_kcli,volatility_dcl,volatility_dch,volatility_dcm,volatility_dcw,volatility_dcp,volatility_ui,trend_macd,trend_macd_signal,trend_macd_diff,trend_sma_fast,trend_sma_slow,trend_ema_fast,trend_ema_slow,trend_adx,trend_adx_pos,trend_adx_neg,trend_vortex_ind_pos,trend_vortex_ind_neg,trend_vortex_ind_diff,trend_trix,trend_mass_index,trend_cci,trend_dpo,trend_kst,trend_kst_sig,trend_kst_diff,trend_ichimoku_conv,trend_ichimoku_base,trend_ichimoku_a,trend_ichimoku_b,trend_visual_ichimoku_a,trend_visual_ichimoku_b,trend_aroon_up,trend_aroon_down,trend_aroon_ind,trend_psar_up,trend_psar_down,trend_psar_up_indicator,trend_psar_down_indicator,trend_stc,momentum_rsi,momentum_stoch_rsi,momentum_stoch_rsi_k,momentum_stoch_rsi_d,momentum_tsi,momentum_uo,momentum_stoch,momentum_stoch_signal,momentum_wr,momentum_ao,momentum_kama,momentum_roc,momentum_ppo,momentum_ppo_signal,momentum_ppo_hist,others_dr,others_dlr,others_cr
0,2018-06-04,135.699997,136.990005,133.679993,134.660004,133.995346,2470000,-1007390.6982814709,2470000,,,,,,435090.3953682755,1000.0,,0.0,,,,,,0.0,0.0,,138.42001266666668,131.79998866666665,,0.4320249191442998,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,135.33499899999998,113.25978163422131,113.80051527410832,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,17.686161570343863,,0.0
1,2018-06-05,135.320007,137.479996,134.800003,136.960007,136.284012,2645200,611332.8125634997,5115200,,,,81.5588879856537,,482028.40580961696,1000.0,,0.0,,,,,,0.0,0.0,,138.7566705,132.7666655,,0.7000564273318611,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,135.5799945,113.25978163422131,113.80051527410832,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,1.7080075238969927,1.6935850681668363,1.7080075238969927
2,2018-06-06,137.809998,138.389999,136.119995,136.940002,136.264084,2915000,-197661.73105843994,2200200,,,,86.82843173207446,,44754.436896980784,1000.0,,0.0,,,,,,0.0,0.0,,138.97778122222223,133.47110855555556,,0.6299436437256476,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,136.03499599999998,113.25978163422131,113.80051527410832,,,,,136.990005,0.0,1.0,,,,,,,,,,,,,,,,,-0.01460645369272262,-0.014607520539033914,1.6931515908762407
3,2018-06-07,137.419998,138.75,135.479996,136.910004,136.234253,2481600,-508800.86752434843,-281400,,,,-18.447666424724517,,-969.3960286974066,999.7809405611079,,0.0,,,,,,0.0,0.0,,139.31250358333335,133.54749708333333,,0.5832616002543354,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,136.21499649999998,113.25978163422131,113.80051527410832,,,,136.119995,,1.0,0.0,,,,,,,,,,,,,,,,,-0.021905943889211077,-0.02190834359154792,1.6708747461495754
4,2018-06-08,136.710007,138.059998,136.229996,137.869995,137.189484,3494500,2260054.58837126,3213100,,,,1.570989554957989,,23959.255893016143,999.7809405611079,,0.0,,,,,,0.0,0.0,,139.29333586666667,133.94932986666666,,0.7336565739883758,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,136.21499649999998,113.25978163422131,113.80051527410832,,,,136.119995,,0.0,0.0,,,,,,,,,,,,,,,,,0.7011839689961663,0.6987371055552138,2.3837746210077393
5,2018-06-11,139.080002,140.539993,138.429993,139.160004,138.473129,5073200,697273.3610726132,8286300,,,,97.32302215564201,,71971.31432853712,999.7809405611079,,0.0,,,,,,0.0,0.0,,139.65889044444444,134.50221877777776,,0.9032541769782803,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,137.109993,113.25978163422131,113.80051527410832,,,,135.479996,,0.0,0.0,,,,,,,,,,,,,,,,,0.9356705931555354,0.9313203110143498,3.3417494922991287
6,2018-06-12,139.0,140.399994,138.690002,139.779999,139.090057,2902100,1494933.7034602177,11188400,,,,3.5356490114049235,,60398.0714444521,1004.2352317829103,,0.0,,,,,,0.0,0.0,,139.8980951904762,134.98952176190474,,0.9759408324649299,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,137.109993,113.25978163422131,113.80051527410832,,,,135.68239588,,0.0,0.0,,,,,,,,,,,,,,,,,0.44552671901332275,0.44453718672503584,3.8021645981831442
7,2018-06-13,140.860001,144.919998,140.339996,143.279999,142.572784,6432900,3320870.8387715225,17621300,,,,219.64124407340364,,174005.25089442616,1004.2352317829103,,0.0,,,,,,0.0,0.0,,140.83916658333334,135.39916433333332,,1.4486822439580163,1.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,139.2999955,113.25978163422131,113.80051527410832,,,,135.8766997648,,0.0,0.0,,,,,,,,,,,,,,,,,2.503934772527794,2.4730999878231685,6.4013030921936
8,2018-06-14,143.600006,147.039993,143.410004,144.389999,143.677307,4558800,1223566.565618068,22180100,,,,206.62952750687774,,196392.95691184868,1012.0151111454097,,0.0,,,,,,0.0,0.0,,141.69888744444447,136.05666566666665,,1.4769595491893999,1.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,140.359993,,,140.359993,113.25978163422131,113.80051527410832,,,,136.419297658912,,0.0,0.0,,,,,,,,,,,,,,,,,0.7747068730786344,0.7717214284324925,7.225601300294038
9,2018-06-15,144.289993,147.130005,143.649994,146.649994,145.926163,3943800,4079400.244936861,26123900,,,,14.5596961055585,,97045.76925021064,1027.85519083897,,3.0260008000000056,,,,,,0.0,0.0,139.57099866666667,142.45799956666667,136.68399776666666,4.13696387871372,1.7260119720318263,1.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,140.96500400000002,,,140.404999,113.25978163422131,113.80051527410832,,,,137.26895328619904,,0.0,0.0,,,,,,,,,,,,146.649994,,,,,1.5652018946270774,1.5530789452278704,8.903898443371517
